image_file,category,subcategory,H,FA,n_resp,memoir_mem_score_yfa,memoir_mem_score_nfa,mean_response_time
000000110159.jpg,vehicle,motorcycle,62,6,82,0.682926829268293,0.75609756097561,661.203125
000000110697.jpg,food,sandwich,70,10,77,0.779220779220779,0.909090909090909,704.466666666667
000000111224.jpg,sports,soccer,71,18,88,0.602272727272727,0.806818181818182,668.759036144578
000000113455.jpg,vehicle,motorcycle,65,16,86,0.569767441860465,0.755813953488372,652.541666666667
000000113852.jpg,animal,cow,101,18,153,0.542483660130719,0.660130718954248,643.54954954955
000000116572.jpg,food,sandwich,109,22,152,0.572368421052632,0.717105263157895,685.008
000000117407.jpg,animal,cat,67,13,82,0.658536585365854,0.817073170731707,662.293333333333
000000117417.jpg,sports,tennis,56,4,75,0.693333333333333,0.746666666666667,635.660714285714
000000117965.jpg,animal,sheep,125,19,152,0.697368421052632,0.822368421052632,644.353383458647
000000118543.jpg,food,broccoli,59,9,69,0.72463768115942,0.855072463768116,662.466666666667
000000121827.jpg,sports,surfing,57,10,72,0.652777777777778,0.791666666666667,645.065573770492
000000123891.jpg,animal,bear,62,20,81,0.518518518518518,0.765432098765432,644.962025316456
000000124841.jpg,sports,American football,56,6,87,0.574712643678161,0.64367816091954,738.810344827586
000000125499.jpg,food,apple,69,5,80,0.8,0.8625,652.579710144927
000000126895.jpg,sports,baseball,119,34,159,0.534591194968553,0.748427672955975,663.909090909091
000000126964.jpg,animal,giraffe,69,10,79,0.746835443037975,0.873417721518987,653.082191780822
000000127056.jpg,animal,cat,71,8,91,0.692307692307692,0.78021978021978,686.071428571429
000000127647.jpg,animal,elephant,89,17,94,0.765957446808511,0.946808510638298,627.14
000000128324.jpg,animal,elephant,58,15,87,0.494252873563218,0.666666666666667,664.390625
000000131714.jpg,animal,dog,65,5,86,0.697674418604651,0.755813953488372,726.984848484848
000000132041.jpg,food,broccoli,61,3,71,0.816901408450704,0.859154929577465,697.344827586207
000000134306.jpg,animal,sheep,58,6,72,0.722222222222222,0.805555555555556,629.079365079365
000000135483.jpg,sports,soccer,65,23,90,0.466666666666667,0.722222222222222,654.569620253165
