corr,nresp,downsample
0.520073296097415,42.29,0.47241379310344833
0.5162715691877767,39.433,0.4413793103448276
0.48720469012643025,36.619,0.41034482758620694
0.45909305200543876,33.779,0.3793103448275862
0.4476613275845498,30.864,0.34827586206896555
0.44695478961327306,28.137,0.3172413793103448
0.41754036721349536,25.293,0.28620689655172415
0.38643747120140787,22.245,0.2551724137931035
0.3355236283869994,19.519,0.22413793103448276
0.28003195087286276,16.644,0.19310344827586212
0.273751862295979,13.792,0.16206896551724137
0.22960430860820008,10.98,0.13103448275862073
0.14263729538745473,8.241,0.1
0.6637023069495928,91.59,1.0
0.6540912660377192,87.382,0.9689655172413794
0.6527922417447634,84.924,0.9379310344827586
0.6445794357688589,82.039,0.906896551724138
0.6332667472141641,79.259,0.8758620689655172
0.6283086883647678,76.42,0.8448275862068966
0.6119942789855858,73.505,0.8137931034482759
0.6030573856289733,70.68,0.7827586206896552
0.5899301745630234,67.928,0.7517241379310344
0.5762268602789802,64.978,0.7206896551724138
0.5717458610480597,62.19,0.6896551724137931
0.5685659260313891,59.464,0.6586206896551724
0.5527838459003365,56.42,0.6275862068965518
0.5501589588100139,53.679,0.596551724137931
0.5314695580589396,50.785,0.5655172413793104
0.5213258091571168,47.95,0.5344827586206897
0.5123992544495154,45.291,0.503448275862069
0.4914421198936542,42.252,0.47241379310344833
0.4716319365479488,39.411,0.4413793103448276
0.4584056154491511,36.633,0.41034482758620694
0.44516239314100525,33.787,0.3793103448275862
0.4107059200117469,30.89,0.34827586206896555
0.38968144309318264,28.142,0.3172413793103448
0.3590272731391719,25.309,0.28620689655172415
0.33794070767047735,22.26,0.2551724137931035
0.2933704288673222,19.52,0.22413793103448276
0.2565543628800617,16.661,0.19310344827586212
0.231803567432009,13.753,0.16206896551724137
0.1982073420084953,10.933,0.13103448275862073
0.12528568513381466,8.222,0.1
0.6864824273118045,91.59,1.0
0.6796207247437226,87.542,0.9689655172413794
0.6714782537415149,84.802,0.9379310344827586
0.664493848631619,82.033,0.906896551724138
0.6538142725278859,79.247,0.8758620689655172
0.6440083912656901,76.393,0.8448275862068966
0.6312658417313718,73.541,0.8137931034482759
0.6156632128888851,70.686,0.7827586206896552
0.6078675642991036,67.944,0.7517241379310344
0.6032484083435374,64.994,0.7206896551724138
0.5920719797975096,62.203,0.6896551724137931
0.5866479777561648,59.406,0.6586206896551724
0.5759944517579169,56.442,0.6275862068965518
0.5630266793133502,53.673,0.596551724137931
0.5475713120049752,50.791,0.5655172413793104
0.537778341038102,47.999,0.5344827586206897
0.5217767228427947,45.293,0.503448275862069
0.5126082116043078,42.383,0.47241379310344833
0.4958138057564271,39.46,0.4413793103448276
0.47647717157212405,36.609,0.41034482758620694
0.4625386017983401,33.756,0.3793103448275862
0.4209256695230273,30.893,0.34827586206896555
0.41833970925866426,28.094,0.3172413793103448
0.4031355831229373,25.343,0.28620689655172415
0.3677130383712052,22.269,0.2551724137931035
0.34601969010052575,19.491,0.22413793103448276
0.30693405319293154,16.636,0.19310344827586212
0.2724894773855689,13.785,0.16206896551724137
0.2446246273761449,11.004,0.13103448275862073
0.16251206904642132,8.242,0.1
0.6731749284959213,91.59,1.0
0.6598226181951865,87.363,0.9689655172413794
0.6539154907942771,84.845,0.9379310344827586
0.6425232432708179,81.976,0.906896551724138
0.6325824216396831,79.277,0.8758620689655172
0.6147605648559233,76.407,0.8448275862068966
0.6101144412789411,73.502,0.8137931034482759
0.5984897534247103,70.714,0.7827586206896552
0.5827337843603627,67.941,0.7517241379310344
0.5652496427616762,64.976,0.7206896551724138
0.5567870228626306,62.18,0.6896551724137931
0.5500633813598673,59.445,0.6586206896551724
0.5438314129033197,56.416,0.6275862068965518
0.5428555019469737,53.66,0.596551724137931
0.5269958939853087,50.838,0.5655172413793104
0.5271095000863721,47.968,0.5344827586206897
0.5142271352642632,45.294,0.503448275862069
0.4969125258204947,42.329,0.47241379310344833
0.48891213094366487,39.432,0.4413793103448276
0.45585326069200616,36.623,0.41034482758620694
0.4177799666480462,33.782,0.3793103448275862
0.39237272357565595,30.878,0.34827586206896555
0.37508642564257066,28.104,0.3172413793103448
0.3534827081082583,25.297,0.28620689655172415
0.3258795529537371,22.254,0.2551724137931035
0.3070736140981903,19.511,0.22413793103448276
0.2735081356043749,16.628,0.19310344827586212
0.23392518031984694,13.782,0.16206896551724137
0.21108936076543097,10.98,0.13103448275862073
0.16933732370257992,8.22,0.1
0.652256707982884,91.59,1.0
